"FriendlyName","Name","Class","Status","InstanceId","HID"
"Logitech Download Assistant","Logitech Download Assistant","HIDClass","OK","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B35B_REV&0013_EEA0065980A5&COL03\9&31D1F8C4&0&0002","HID\{00001812-0000-1000-8000-00805f9b34fb}_Dev_VID&02046d_PID&b35b&Col03"
"Logitech Download Assistant","Logitech Download Assistant","HIDClass","OK","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B35B_REV&0013_EEA0065980A5&COL03\9&31D1F8C4&0&0002","HID\{00001812-0000-1000-8000-00805f9b34fb}_LOCALMFG&0002&Col03"
"Logitech Download Assistant","Logitech Download Assistant","HIDClass","OK","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B35B_REV&0013_EEA0065980A5&COL03\9&31D1F8C4&0&0002","HID\VID_046D&UP:000C_U:0001"
"Logitech Download Assistant","Logitech Download Assistant","HIDClass","OK","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B35B_REV&0013_EEA0065980A5&COL03\9&31D1F8C4&0&0002","HID_DEVICE_SYSTEM_CONSUMER"
"Logitech Download Assistant","Logitech Download Assistant","HIDClass","OK","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B35B_REV&0013_EEA0065980A5&COL03\9&31D1F8C4&0&0002","HID_DEVICE_UP:000C_U:0001"
"Logitech Download Assistant","Logitech Download Assistant","HIDClass","OK","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B35B_REV&0013_EEA0065980A5&COL03\9&31D1F8C4&0&0002","HID_DEVICE"
"Volume","Volume","Volume","Unknown","STORAGE\VOLUME\_??_USBSTOR#DISK&VEN_&PROD_USB_DISK_3.0&REV_PMAP#07190C73EC8DE198&0#{53F56307-B6BF-11D0-94F2-00A0C91EFB8B}","STORAGE\Volume"
"Razer DeathAdder V2","Razer DeathAdder V2","Mouse","OK","HID\VID_1532&PID_0084&MI_00\7&204D22EC&1&0000","HID\VID_1532&PID_0084&REV_0200&MI_00"
"Razer DeathAdder V2","Razer DeathAdder V2","Mouse","OK","HID\VID_1532&PID_0084&MI_00\7&204D22EC&1&0000","HID\VID_1532&PID_0084&MI_00"
"Razer DeathAdder V2","Razer DeathAdder V2","Mouse","OK","HID\VID_1532&PID_0084&MI_00\7&204D22EC&1&0000","HID\VID_1532&UP:0001_U:0002"
"Razer DeathAdder V2","Razer DeathAdder V2","Mouse","OK","HID\VID_1532&PID_0084&MI_00\7&204D22EC&1&0000","HID_DEVICE_SYSTEM_MOUSE"
"Razer DeathAdder V2","Razer DeathAdder V2","Mouse","OK","HID\VID_1532&PID_0084&MI_00\7&204D22EC&1&0000","HID_DEVICE_UP:0001_U:0002"
"Razer DeathAdder V2","Razer DeathAdder V2","Mouse","OK","HID\VID_1532&PID_0084&MI_00\7&204D22EC&1&0000","HID_DEVICE"
"Bluetooth Low Energy GATT compliant HID device","Bluetooth Low Energy GATT compliant HID device","HIDClass","OK","BTHLEDEVICE\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B369_REV&0007_DB209F422280\8&1AA6D1C1&0&001F","BTHLEDevice\{00001812-0000-1000-8000-00805f9b34fb}_Dev_VID&02046d_PID&b369_REV&0007"
"Bluetooth Low Energy GATT compliant HID device","Bluetooth Low Energy GATT compliant HID device","HIDClass","OK","BTHLEDEVICE\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B369_REV&0007_DB209F422280\8&1AA6D1C1&0&001F","BTHLEDevice\{00001812-0000-1000-8000-00805f9b34fb}_Dev_VID&02046d_PID&b369"
"Bluetooth Low Energy GATT compliant HID device","Bluetooth Low Energy GATT compliant HID device","HIDClass","OK","BTHLEDEVICE\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B369_REV&0007_DB209F422280\8&1AA6D1C1&0&001F","BTHLEDevice\{00001812-0000-1000-8000-00805f9b34fb}_LOCALMFG&0002"
"Volume","Volume","Volume","OK","STORAGE\VOLUME\{882ED160-E4D1-11EC-A496-806E6F6E6963}#0000000000100000","STORAGE\Volume"
"ACTON III Avrcp Transport","ACTON III Avrcp Transport","Bluetooth","OK","BTHENUM\{0000110E-0000-1000-8000-00805F9B34FB}_VID&00010094_PID&0004\7&B265E0C&0&6C47604EDC78_C00000000","BTHENUM\{0000110e-0000-1000-8000-00805f9b34fb}_VID&00010094_PID&0004"
"ACTON III Avrcp Transport","ACTON III Avrcp Transport","Bluetooth","OK","BTHENUM\{0000110E-0000-1000-8000-00805F9B34FB}_VID&00010094_PID&0004\7&B265E0C&0&6C47604EDC78_C00000000","BTHENUM\{0000110e-0000-1000-8000-00805f9b34fb}_LOCALMFG&0002"
"USB Composite Device","USB Composite Device","USB","Unknown","USB\VID_046D&PID_C52B\6&3183D08&0&1","USB\VID_046D&PID_C52B&REV_2411"
"USB Composite Device","USB Composite Device","USB","Unknown","USB\VID_046D&PID_C52B\6&3183D08&0&1","USB\VID_046D&PID_C52B"
"USB Composite Device","USB Composite Device","USB","Unknown","USB\VID_046D&PID_C52B\6&3183D08&0&2","USB\VID_046D&PID_C52B&REV_2411"
"USB Composite Device","USB Composite Device","USB","Unknown","USB\VID_046D&PID_C52B\6&3183D08&0&2","USB\VID_046D&PID_C52B"
"E7 Hands-Free","E7 Hands-Free","MEDIA","OK","BTHHFENUM\BTHHFPAUDIO\8&18465764&2&97","BTHHFENUM\BthHFPAudio"
"Bluetooth Low Energy GATT compliant HID device","Bluetooth Low Energy GATT compliant HID device","HIDClass","OK","BTHLEDEVICE\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B034_REV&0003_D0EEF6C87894\8&1D214379&0&001F","BTHLEDevice\{00001812-0000-1000-8000-00805f9b34fb}_Dev_VID&02046d_PID&b034_REV&0003"
"Bluetooth Low Energy GATT compliant HID device","Bluetooth Low Energy GATT compliant HID device","HIDClass","OK","BTHLEDEVICE\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B034_REV&0003_D0EEF6C87894\8&1D214379&0&001F","BTHLEDevice\{00001812-0000-1000-8000-00805f9b34fb}_Dev_VID&02046d_PID&b034"
"Bluetooth Low Energy GATT compliant HID device","Bluetooth Low Energy GATT compliant HID device","HIDClass","OK","BTHLEDEVICE\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B034_REV&0003_D0EEF6C87894\8&1D214379&0&001F","BTHLEDevice\{00001812-0000-1000-8000-00805f9b34fb}_LOCALMFG&0002"
"HID-compliant vendor-defined device","HID-compliant vendor-defined device","HIDClass","Unknown","HID\VID_413C&PID_4503&MI_02&COL01\8&37AF421F&0&0000","HID\VID_413C&PID_4503&REV_0228&MI_02&Col01"
"HID-compliant vendor-defined device","HID-compliant vendor-defined device","HIDClass","Unknown","HID\VID_413C&PID_4503&MI_02&COL01\8&37AF421F&0&0000","HID\VID_413C&PID_4503&MI_02&Col01"
"HID-compliant vendor-defined device","HID-compliant vendor-defined device","HIDClass","Unknown","HID\VID_413C&PID_4503&MI_02&COL01\8&37AF421F&0&0000","HID\VID_413C&UP:FF00_U:0000"
"HID-compliant vendor-defined device","HID-compliant vendor-defined device","HIDClass","Unknown","HID\VID_413C&PID_4503&MI_02&COL01\8&37AF421F&0&0000","HID_DEVICE_UP:FF00_U:0000"
"HID-compliant vendor-defined device","HID-compliant vendor-defined device","HIDClass","Unknown","HID\VID_413C&PID_4503&MI_02&COL01\8&37AF421F&0&0000","HID_DEVICE_UPR:FF00-FFFF"
"HID-compliant vendor-defined device","HID-compliant vendor-defined device","HIDClass","Unknown","HID\VID_413C&PID_4503&MI_02&COL01\8&37AF421F&0&0000","HID_DEVICE"
"Microsoft Hyper-V Virtual Machine Bus Provider","Microsoft Hyper-V Virtual Machine Bus Provider","System","OK","ROOT\VMBUS\0000","root\VMBus"
"Microsoft Basic Display Driver","Microsoft Basic Display Driver","System","OK","ROOT\BASICDISPLAY\0000","ROOT\BasicDisplay"
"Logitech Download Assistant","Logitech Download Assistant","HIDClass","Unknown","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B034_REV&0003_D0EEF6C87894&COL02\9&7827B5D&0&0001","HID\{00001812-0000-1000-8000-00805f9b34fb}_Dev_VID&02046d_PID&b034_REV&0003&Col02"
"Logitech Download Assistant","Logitech Download Assistant","HIDClass","Unknown","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B034_REV&0003_D0EEF6C87894&COL02\9&7827B5D&0&0001","HID\{00001812-0000-1000-8000-00805f9b34fb}_Dev_VID&02046d_PID&b034&Col02"
"Logitech Download Assistant","Logitech Download Assistant","HIDClass","Unknown","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B034_REV&0003_D0EEF6C87894&COL02\9&7827B5D&0&0001","HID\{00001812-0000-1000-8000-00805f9b34fb}_LOCALMFG&0002&Col02"
"Logitech Download Assistant","Logitech Download Assistant","HIDClass","Unknown","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B034_REV&0003_D0EEF6C87894&COL02\9&7827B5D&0&0001","HID\VID_046D&UP:FF43_U:0202"
"Logitech Download Assistant","Logitech Download Assistant","HIDClass","Unknown","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B034_REV&0003_D0EEF6C87894&COL02\9&7827B5D&0&0001","HID_DEVICE_UP:FF43_U:0202"
"Logitech Download Assistant","Logitech Download Assistant","HIDClass","Unknown","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B034_REV&0003_D0EEF6C87894&COL02\9&7827B5D&0&0001","HID_DEVICE_UPR:FF00-FFFF"
"Logitech Download Assistant","Logitech Download Assistant","HIDClass","Unknown","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B034_REV&0003_D0EEF6C87894&COL02\9&7827B5D&0&0001","HID_DEVICE"
"ACPI Sleep Button","ACPI Sleep Button","System","OK","ACPI\PNP0C0E\2&DABA3FF&0","ACPI\VEN_PNP&DEV_0C0E"
"ACPI Sleep Button","ACPI Sleep Button","System","OK","ACPI\PNP0C0E\2&DABA3FF&0","ACPI\PNP0C0E"
"ACPI Sleep Button","ACPI Sleep Button","System","OK","ACPI\PNP0C0E\2&DABA3FF&0","*PNP0C0E"
"Intel(R) Wireless Bluetooth(R)","Intel(R) Wireless Bluetooth(R)","Bluetooth","OK","USB\VID_8087&PID_0029\5&129774C1&0&11","USB\VID_8087&PID_0029&REV_0001"
"Intel(R) Wireless Bluetooth(R)","Intel(R) Wireless Bluetooth(R)","Bluetooth","OK","USB\VID_8087&PID_0029\5&129774C1&0&11","USB\VID_8087&PID_0029"
"Microsoft Hypervisor Service","Microsoft Hypervisor Service","System","OK","ROOT\HVSERVICE\0000","ROOT\hvservice"
"HID-compliant system controller","HID-compliant system controller","HIDClass","Unknown","HID\VID_046D&PID_C534&MI_01&COL03\8&2562B3F7&0&0002","HID\VID_046D&PID_C534&REV_2901&MI_01&Col03"
"HID-compliant system controller","HID-compliant system controller","HIDClass","Unknown","HID\VID_046D&PID_C534&MI_01&COL03\8&2562B3F7&0&0002","HID\VID_046D&PID_C534&MI_01&Col03"
"HID-compliant system controller","HID-compliant system controller","HIDClass","Unknown","HID\VID_046D&PID_C534&MI_01&COL03\8&2562B3F7&0&0002","HID\VID_046D&UP:0001_U:0080"
"HID-compliant system controller","HID-compliant system controller","HIDClass","Unknown","HID\VID_046D&PID_C534&MI_01&COL03\8&2562B3F7&0&0002","HID_DEVICE_SYSTEM_CONTROL"
"HID-compliant system controller","HID-compliant system controller","HIDClass","Unknown","HID\VID_046D&PID_C534&MI_01&COL03\8&2562B3F7&0&0002","HID_DEVICE_UP:0001_U:0080"
"HID-compliant system controller","HID-compliant system controller","HIDClass","Unknown","HID\VID_046D&PID_C534&MI_01&COL03\8&2562B3F7&0&0002","HID_DEVICE"
"HID-compliant vendor-defined device","HID-compliant vendor-defined device","HIDClass","Unknown","HID\VID_046D&PID_C52B&MI_02&COL01\8&3801AC30&0&0000","HID\VID_046D&PID_C52B&REV_2411&MI_02&Col01"
"HID-compliant vendor-defined device","HID-compliant vendor-defined device","HIDClass","Unknown","HID\VID_046D&PID_C52B&MI_02&COL01\8&3801AC30&0&0000","HID\VID_046D&PID_C52B&MI_02&Col01"
"HID-compliant vendor-defined device","HID-compliant vendor-defined device","HIDClass","Unknown","HID\VID_046D&PID_C52B&MI_02&COL01\8&3801AC30&0&0000","HID\VID_046D&UP:FF00_U:0001"
"HID-compliant vendor-defined device","HID-compliant vendor-defined device","HIDClass","Unknown","HID\VID_046D&PID_C52B&MI_02&COL01\8&3801AC30&0&0000","HID_DEVICE_UP:FF00_U:0001"
"HID-compliant vendor-defined device","HID-compliant vendor-defined device","HIDClass","Unknown","HID\VID_046D&PID_C52B&MI_02&COL01\8&3801AC30&0&0000","HID_DEVICE_UPR:FF00-FFFF"
"HID-compliant vendor-defined device","HID-compliant vendor-defined device","HIDClass","Unknown","HID\VID_046D&PID_C52B&MI_02&COL01\8&3801AC30&0&0000","HID_DEVICE"
"Alex’s AirPods Hands-Free","Alex’s AirPods Hands-Free","MEDIA","OK","BTHHFENUM\BTHHFPAUDIO\8&15564BE9&0&97","BTHHFENUM\BthHFPAudio"
"Generic Attribute Profile","Generic Attribute Profile","Bluetooth","OK","BTHLEDEVICE\{00001801-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B369_REV&0007_DB209F422280\8&1AA6D1C1&0&000A","BTHLEDevice\{00001801-0000-1000-8000-00805f9b34fb}_Dev_VID&02046d_PID&b369_REV&0007"
"Generic Attribute Profile","Generic Attribute Profile","Bluetooth","OK","BTHLEDEVICE\{00001801-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B369_REV&0007_DB209F422280\8&1AA6D1C1&0&000A","BTHLEDevice\{00001801-0000-1000-8000-00805f9b34fb}_Dev_VID&02046d_PID&b369"
"Generic Attribute Profile","Generic Attribute Profile","Bluetooth","OK","BTHLEDEVICE\{00001801-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B369_REV&0007_DB209F422280\8&1AA6D1C1&0&000A","BTHLEDevice\{00001801-0000-1000-8000-00805f9b34fb}_LOCALMFG&0002"
"System Firmware 1.13.0","System Firmware 1.13.0","Firmware","OK","UEFI\RES_{9F1ECAB8-A9D1-4D01-9BF8-B91CB116B641}\0","UEFI\RES_{9f1ecab8-a9d1-4d01-9bf8-b91cb116b641}&REV_21600"
"System Firmware 1.13.0","System Firmware 1.13.0","Firmware","OK","UEFI\RES_{9F1ECAB8-A9D1-4D01-9BF8-B91CB116B641}\0","UEFI\RES_{9f1ecab8-a9d1-4d01-9bf8-b91cb116b641}"
"Alex’s AirPods Avrcp Transport","Alex’s AirPods Avrcp Transport","Bluetooth","OK","BTHENUM\{0000110E-0000-1000-8000-00805F9B34FB}_VID&0001004C_PID&2002\7&B265E0C&0&94B01FA9D419_C00000000","BTHENUM\{0000110e-0000-1000-8000-00805f9b34fb}_VID&0001004c_PID&2002"
"Alex’s AirPods Avrcp Transport","Alex’s AirPods Avrcp Transport","Bluetooth","OK","BTHENUM\{0000110E-0000-1000-8000-00805F9B34FB}_VID&0001004C_PID&2002\7&B265E0C&0&94B01FA9D419_C00000000","BTHENUM\{0000110e-0000-1000-8000-00805f9b34fb}_LOCALMFG&0002"
"HID-compliant mouse","HID-compliant mouse","Mouse","Unknown","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B034_REV&0003_D0EEF6C87894&COL01\9&7827B5D&0&0000","HID\{00001812-0000-1000-8000-00805f9b34fb}_Dev_VID&02046d_PID&b034_REV&0003&Col01"
"HID-compliant mouse","HID-compliant mouse","Mouse","Unknown","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B034_REV&0003_D0EEF6C87894&COL01\9&7827B5D&0&0000","HID\{00001812-0000-1000-8000-00805f9b34fb}_Dev_VID&02046d_PID&b034&Col01"
"HID-compliant mouse","HID-compliant mouse","Mouse","Unknown","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B034_REV&0003_D0EEF6C87894&COL01\9&7827B5D&0&0000","HID\{00001812-0000-1000-8000-00805f9b34fb}_LOCALMFG&0002&Col01"
"HID-compliant mouse","HID-compliant mouse","Mouse","Unknown","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B034_REV&0003_D0EEF6C87894&COL01\9&7827B5D&0&0000","HID\VID_046D&UP:0001_U:0002"
"HID-compliant mouse","HID-compliant mouse","Mouse","Unknown","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B034_REV&0003_D0EEF6C87894&COL01\9&7827B5D&0&0000","HID_DEVICE_SYSTEM_MOUSE"
"HID-compliant mouse","HID-compliant mouse","Mouse","Unknown","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B034_REV&0003_D0EEF6C87894&COL01\9&7827B5D&0&0000","HID_DEVICE_UP:0001_U:0002"
